sudut;azimuth;elevation
97;0.000220586;4.86582E-08
98;0.000375164;1.40748E-07
99;0.000598866;3.58641E-07
100;0.000909245;8.26726E-07
101;0.001325548;1.75708E-06
102;0.001868597;3.49165E-06
103;0.002560661;6.55699E-06
104;0.003425317;1.17328E-05
105;0.004487298;2.01358E-05
106;0.005772345;3.332E-05
107;0.007307038;5.33928E-05
108;0.009118627;8.31494E-05
109;0.01123486;0.000126222
110;0.013683801;0.000187246
111;0.016493645;0.00027204
112;0.019692537;0.000387796
113;0.023308378;0.00054328
114;0.027368639;0.000749042
115;0.031900173;0.001017621
116;0.036929025;0.001363753
117;0.04248025;0.001804572
118;0.048577724;0.002359795
119;0.055243975;0.003051897
120;0.0625;0.00390625
121;0.070365106;0.004951248
122;0.078856742;0.006218386
123;0.087990353;0.007742302
124;0.097779228;0.009560777
125;0.108234373;0.011714679
126;0.119364379;0.014247855
127;0.13117531;0.017206962
128;0.143670603;0.020641242
129;0.156850972;0.024602228
130;0.170714334;0.029143384
131;0.185255738;0.034319688
132;0.200467318;0.040187146
133;0.216338255;0.04680224
134;0.232854745;0.054221332
135;0.25;0.0625
136;0.267754242;0.071692334
137;0.286094728;0.081850194
138;0.304995782;0.093022427
139;0.324428838;0.105254071
140;0.344362511;0.118585539
141;0.364762663;0.1330518
142;0.385592499;0.148681575
143;0.406812666;0.165496545
144;0.428381373;0.183510601
145;0.450254516;0.202729129
146;0.472385822;0.223148365
147;0.494726996;0.2447548
148;0.517227889;0.267524689
149;0.539836668;0.291423629
150;0.5625;0.31640625
151;0.585163239;0.342416016
152;0.607770628;0.369385136
153;0.630265502;0.397234603
154;0.652590501;0.425874362
155;0.674687783;0.455203604
156;0.696499245;0.485111199
157;0.717966748;0.515476251
158;0.739032337;0.546168796
159;0.759638471;0.577050606
160;0.779728244;0.607976134
161;0.799245614;0.638793551
162;0.818135621;0.669345895
163;0.83634461;0.699472307
164;0.853820441;0.729009346
165;0.870512702;0.757792364
166;0.886372909;0.785656934
167;0.901354708;0.812440309
168;0.915414055;0.837982891
169;0.928509402;0.86212971
170;0.940601866;0.88473187
171;0.951655382;0.905647967
172;0.96163686;0.92474545
173;0.970516312;0.941901912
174;0.978266983;0.957006289
175;0.984865454;0.969959963
176;0.990291746;0.980677743
177;0.994529398;0.989088723
178;0.997565534;0.995136994
179;0.99939092;0.998782211
180;1;1
181;0.99939092;0.998782211
182;0.997565534;0.995136994
183;0.994529398;0.989088723
184;0.990291746;0.980677743
185;0.984865454;0.969959963
186;0.978266983;0.957006289
187;0.970516312;0.941901912
188;0.96163686;0.92474545
189;0.951655382;0.905647967
190;0.940601866;0.88473187
191;0.928509402;0.86212971
192;0.915414055;0.837982891
193;0.901354708;0.812440309
194;0.886372909;0.785656934
195;0.870512702;0.757792364
196;0.853820441;0.729009346
197;0.83634461;0.699472307
198;0.818135621;0.669345895
199;0.799245614;0.638793551
200;0.779728244;0.607976134
201;0.759638471;0.577050606
202;0.739032337;0.546168796
203;0.717966748;0.515476251
204;0.696499245;0.485111199
205;0.674687783;0.455203604
206;0.652590501;0.425874362
207;0.630265502;0.397234603
208;0.607770628;0.369385136
209;0.585163239;0.342416016
210;0.5625;0.31640625
211;0.539836668;0.291423629
212;0.517227889;0.267524689
213;0.494726996;0.2447548
214;0.472385822;0.223148365
215;0.450254516;0.202729129
216;0.428381373;0.183510601
217;0.406812666;0.165496545
218;0.385592499;0.148681575
219;0.364762663;0.1330518
220;0.344362511;0.118585539
221;0.324428838;0.105254071
222;0.304995782;0.093022427
223;0.286094728;0.081850194
224;0.267754242;0.071692334
225;0.25;0.0625
226;0.232854745;0.054221332
227;0.216338255;0.04680224
228;0.200467318;0.040187146
229;0.185255738;0.034319688
230;0.170714334;0.029143384
231;0.156850972;0.024602228
232;0.143670603;0.020641242
233;0.13117531;0.017206962
234;0.119364379;0.014247855
235;0.108234373;0.011714679
236;0.097779228;0.009560777
237;0.087990353;0.007742302
238;0.078856742;0.006218386
239;0.070365106;0.004951248
240;0.0625;0.00390625
241;0.055243975;0.003051897
242;0.048577724;0.002359795
243;0.04248025;0.001804572
244;0.036929025;0.001363753
245;0.031900173;0.001017621
246;0.027368639;0.000749042
247;0.023308378;0.00054328
248;0.019692537;0.000387796
249;0.016493645;0.00027204
250;0.013683801;0.000187246
251;0.01123486;0.000126222
252;0.009118627;8.31494E-05
253;0.007307038;5.33928E-05
254;0.005772345;3.332E-05
255;0.004487298;2.01358E-05
256;0.003425317;1.17328E-05
257;0.002560661;6.55699E-06
258;0.001868597;3.49165E-06
259;0.001325548;1.75708E-06
260;0.000909245;8.26726E-07
261;0.000598866;3.58641E-07
262;0.000375164;1.40748E-07
263;0.000220586;4.86582E-08
264;0.000119382;1.4252E-08
265;5.77011E-05;3.32942E-09
266;2.36776E-05;5.6063E-10
267;7.50241E-06;5.62861E-11
268;1.48346E-06;2.20066E-12
269;9.27729E-08;8.60682E-15
270;1.14056E-63;1.3009E-126
271;9.27729E-08;8.60682E-15
272;1.48346E-06;2.20066E-12
273;7.50241E-06;5.62861E-11
274;2.36776E-05;5.6063E-10
275;5.77011E-05;3.32942E-09
276;0.000119382;1.4252E-08
277;0.000220586;4.86582E-08
278;0.000375164;1.40748E-07
279;0.000598866;3.58641E-07
280;0.000909245;8.26726E-07
281;0.001325548;1.75708E-06
282;0.001868597;3.49165E-06
283;0.002560661;6.55699E-06
284;0.003425317;1.17328E-05
285;0.004487298;2.01358E-05
286;0.005772345;3.332E-05
287;0.007307038;5.33928E-05
288;0.009118627;8.31494E-05
289;0.01123486;0.000126222
290;0.013683801;0.000187246
291;0.016493645;0.00027204
292;0.019692537;0.000387796
293;0.023308378;0.00054328
294;0.027368639;0.000749042
295;0.031900173;0.001017621
296;0.036929025;0.001363753
297;0.04248025;0.001804572
298;0.048577724;0.002359795
299;0.055243975;0.003051897
300;0.0625;0.00390625
301;0.070365106;0.004951248
302;0.078856742;0.006218386
303;0.087990353;0.007742302
304;0.097779228;0.009560777
305;0.108234373;0.011714679
306;0.119364379;0.014247855
307;0.13117531;0.017206962
308;0.143670603;0.020641242
309;0.156850972;0.024602228
310;0.170714334;0.029143384
311;0.185255738;0.034319688
312;0.200467318;0.040187146
313;0.216338255;0.04680224
314;0.232854745;0.054221332
315;0.25;0.0625
316;0.267754242;0.071692334
317;0.286094728;0.081850194
318;0.304995782;0.093022427
319;0.324428838;0.105254071
320;0.344362511;0.118585539
321;0.364762663;0.1330518
322;0.385592499;0.148681575
323;0.406812666;0.165496545
324;0.428381373;0.183510601
325;0.450254516;0.202729129
326;0.472385822;0.223148365
327;0.494726996;0.2447548
328;0.517227889;0.267524689
329;0.539836668;0.291423629
330;0.5625;0.31640625
331;0.585163239;0.342416016
332;0.607770628;0.369385136
333;0.630265502;0.397234603
334;0.652590501;0.425874362
335;0.674687783;0.455203604
336;0.696499245;0.485111199
337;0.717966748;0.515476251
338;0.739032337;0.546168796
339;0.759638471;0.577050606
340;0.779728244;0.607976134
341;0.799245614;0.638793551
342;0.818135621;0.669345895
343;0.83634461;0.699472307
344;0.853820441;0.729009346
345;0.870512702;0.757792364
346;0.886372909;0.785656934
347;0.901354708;0.812440309
348;0.915414055;0.837982891
349;0.928509402;0.86212971
350;0.940601866;0.88473187
351;0.951655382;0.905647967
352;0.96163686;0.92474545
353;0.970516312;0.941901912
354;0.978266983;0.957006289
355;0.984865454;0.969959963
356;0.990291746;0.980677743
357;0.994529398;0.989088723
358;0.997565534;0.995136994
359;0.99939092;0.998782211
360;1;1
